Visual Name,Publisher,GUID,Latest Version,Is Certified,Popularity,Risk Level,Risk Score,Author Findings,Library Findings,Dynamic Code (Author),Network Access (Author),DOM Manipulation (Author),Sensitive Access (Author),Informational (Author),Web Access Permission,Export Content Permission,Local Storage Permission,AAD Auth Permission,External JS Count,Detected Libraries,API Version,Has GPL License,Versions Scanned,Findings Resolved in Latest
Gantt Chart - xViz,xViz LLC dba Lumel,GanttChart4C3653EFFFEB4E7DA5A699CE198391E2,3.3.0.1,True,0.989,High,55,64,23,4,0,45,0,15,False,True,False,False,0,jQuery; Moment.js; Highcharts; Leaflet; ag-Grid; Bootstrap; Globalize; Chart.js,5.4.0,False,6,1
Map by Squillion,Squillion Technology Private Limited,MapBySquillion,2.0.2.1,True,0.989,High,30,7,0,0,0,7,0,0,False,False,False,False,0,Leaflet; Globalize; TopToJSON / TopoJSON,5.11.0,False,8,0
Table Heatmap,Microsoft Corporation,TableHeatMap1443716069308,3.5.0.0,True,0.989,High,25,4,3,0,1,3,0,0,False,False,False,False,0,Globalize,5.3.0,False,2,0
Icon Map Slicer,Tekantis,iconMapSlicer99906171E08E452C9C884530F82BBB86,1.1.0.2,False,0.988,High,120,266,3,7,78,13,1,167,True,False,False,False,0,Leaflet; Mapbox GL JS; Globalize; TopToJSON / TopoJSON; JSZip,5.10.0,True,6,0
Performance Flow - xViz,xViz LLC dba Lumel,BusinessFlowF39DAE8D57A743EF89F5C3809DEE2B67,2.0.0.0,True,0.988,High,91,93,20,1,3,19,0,70,False,True,False,False,0,jQuery; Highcharts; Leaflet; Quill; Globalize,5.4.0,False,4,0
Smart Filter by OKVIZ,OKVIZ Corp.,SmartFilterBySQLBI1458262140625,1.2.8.0,True,0.988,High,90,27,4,3,3,13,0,8,False,False,False,False,0,jQuery,2.6.0,False,2,0
Pareto by sio2Graphs,sio2Graphs,paretoEDD8E69761BA4B7BB3AA6D813990D7BF,8.0.0.1,True,0.987,High,25,4,0,0,1,3,0,0,False,True,False,False,0,Globalize,5.9.0,False,3,0
Power KPI,Microsoft Corporation,powerKPI462CE5C2666F4EC8A8BDD7E5587320A3,3.0.4.0,True,0.987,High,40,8,0,0,1,7,0,0,False,False,False,False,0,Globalize,5.11.0,False,4,0
Risk Matrix / Heatmap - LeapLytics,LeapLytics GmbH,RiskHeatmapA1E4D7191E504BBA9F44FE76C254B319,1.0.3.1,True,0.986,High,17,11,1,0,0,9,0,2,False,True,False,False,0,Moment.js,5.10.0,False,10,0
Sankey Diagram for Power BI by ChartExpo,polyvista.com,chartexposankeydiagramD70B8BC1836C4420A7BFCE36F48EE4BE,1.0.2.0,False,0.986,High,97,82,3,4,3,63,0,12,True,True,True,False,0,jQuery; Leaflet,5.10.0,False,4,0
Water Cup,Daniel Szentimrey-Harrach,waterCupVisual821A487582524ED6878C0A8F277EF02F,1.0.0.0,False,0.986,High,15,3,0,0,0,3,0,0,False,False,False,False,0,,5.9.0,False,1,0
Zebra BI Charts,Zebra BI,waterfall6C9ED82ABD1F44C4A0D590CE01EB5EE7,7.8.1.134,True,0.986,High,33,13,17,1,0,9,1,2,False,True,True,False,0,Leaflet; Quill; Globalize,5.10.0,False,13,0
Image Grid,Fredrik Hedenström,ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,1.0.1.0,False,0.985,High,63,26,1,1,3,13,0,9,False,False,False,False,5,d3.js; jQuery; Leaflet; Lodash,1.7.0,False,2,0
Image by CloudScope,"CloudScope, LLC",imageDB603108E3FF4EBFB8047F5653368E8C,4.0.1.0,False,0.985,Low,3,0,0,0,0,0,0,0,True,False,False,False,0,jQuery; Globalize,5.11.0,False,2,0
Radar/Polar Chart - xViz,xViz LLC dba Lumel,radarChartE89D21F3E4E64221B79113B5015EA81B,3.0.2.0,True,0.985,High,59,55,32,3,0,45,0,7,False,True,False,False,0,jQuery; Moment.js; Highcharts; Leaflet; ag-Grid; Globalize; Chart.js,5.4.0,False,1,0
Simple Waterfall,DATANOMY TECHNOLOGIES LIMITED,SimpleWaterfall,2.1.0.5,True,0.985,High,28,7,2,1,0,3,1,2,False,True,False,False,0,,5.11.0,False,3,1
3D PieChart and Donut Chart by iFour,iFour Technolab Pvt. Ltd.,pieChartNewAA90D11FDE2D45BBADC4383C1313084F,1.0.7.0,True,0.984,High,15,3,0,0,0,3,0,0,False,False,False,False,0,Leaflet; Globalize,5.11.0,False,8,0
Advanced Gauge - xViz,xViz LLC dba Lumel,advancedGauge97290A2225EA4EB5BC5C8D85F9ACA7DA,3.0.1.0,True,0.984,High,100,28,39,3,3,12,0,10,False,True,False,False,0,jQuery; Highcharts; Leaflet; Globalize; Chart.js,5.4.0,False,1,0
Bubble / Scatter Chart - xViz,xViz LLC dba Lumel,performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,3.0.1.1,True,0.984,High,90,68,51,4,2,48,0,14,False,True,False,False,0,jQuery; Moment.js; Highcharts; Leaflet; ag-Grid; Bootstrap; DOMPurify; Globalize; Chart.js,5.4.0,False,2,0
Flow map,Weiwei Cui,flowmap30CFDD5B92F848C88242B1E81C8C33C7,1.4.4.0,False,0.984,High,59,13,5,3,1,3,0,6,False,False,False,False,0,,2.6.0,False,2,0
